xmin,xmax,ymin,ymax,zmin,zmax
39,86,52,186,38,86
42,88,136,192,40,88
44,108,133,189,35,108
37,82,135,187,42,82
38,64,128,163,65,64
40,86,138,190,39,86
42,110,135,195,40,110
43,75,72,154,49,75
31,68,84,165,46,68
66,109,135,180,39,109
69,89,129,178,42,89
73,88,113,166,51,88
33,72,88,176,46,72
28,78,77,176,43,78
34,85,31,187,42,85
28,85,36,184,40,85
38,88,42,169,44,88
45,89,29,158,49,89
37,90,23,179,42,90
38,84,21,183,32,84
41,94,26,185,42,94
39,83,39,184,26,83
44,81,71,182,43,81
42,80,78,156,32,80
39,83,51,186,25,83
29,84,51,186,22,84
23,85,59,186,26,85
27,83,79,185,43,83
25,85,53,185,34,85
42,67,92,158,53,67
42,84,60,185,40,84
41,85,55,185,44,85
53,86,130,187,39,86
38,86,58,188,38,86
45,86,59,181,41,86
55,89,135,185,39,89
45,80,75,165,43,80
54,76,123,146,43,76
61,114,134,187,38,114
64,111,136,193,41,111
65,112,134,190,40,112
57,128,135,191,42,128
61,112,136,194,39,112
66,107,137,187,43,107
69,107,130,178,47,107
76,104,71,177,39,104
40,139,27,182,42,139
45,126,39,156,55,126
48,121,48,164,46,121
45,122,25,180,42,122
46,123,32,155,46,123
42,121,25,172,48,121
48,122,30,179,47,122
71,133,119,184,29,133
71,148,107,181,27,148
48,153,68,183,38,153
69,149,79,183,45,149
62,108,136,184,39,108
47,134,40,181,43,134
68,101,137,184,43,101
42,80,56,172,45,80
36,87,87,193,46,87
39,89,60,190,40,89
37,79,143,186,52,79
33,68,83,175,25,68
39,112,127,191,48,112
38,114,110,196,54,114
43,64,124,173,53,64
29,72,84,172,53,72
41,89,145,169,61,89
52,87,141,179,65,87
33,76,85,176,56,76
27,68,77,178,53,68
30,81,33,179,45,81
34,71,38,178,44,71
41,83,42,180,53,83
50,71,22,167,57,71
43,81,25,179,53,81
37,77,27,178,46,77
36,92,25,180,40,92
39,73,42,179,27,73
36,72,79,174,40,72
40,74,95,179,29,74
29,80,55,180,21,80
23,72,55,180,32,72
31,70,82,177,54,70
25,79,51,185,38,79
42,67,94,171,58,67
38,76,89,182,49,76
37,85,54,185,53,85
38,84,116,191,51,84
38,83,59,186,45,83
38,84,68,180,52,84
57,77,144,176,57,77
45,71,76,172,55,71
43,67,63,161,51,67
42,135,147,183,57,135
42,110,153,190,58,110
50,111,149,189,52,111
52,135,150,178,64,135
39,129,147,191,51,129
42,114,126,193,58,114
51,111,149,184,64,111
45,126,49,175,57,126
45,121,61,166,57,121
48,123,27,177,53,123
44,124,33,168,54,124
45,122,65,164,57,122
43,115,133,178,60,115
45,133,41,169,56,133
57,98,145,179,49,98
65,112,142,193,37,112
38,87,145,193,49,87
36,82,141,189,54,82
38,87,96,193,45,87
38,112,96,196,44,112
61,92,136,189,63,92
38,82,125,188,64,82
68,107,152,192,56,107
58,102,135,192,54,102
69,87,88,192,64,87
45,82,90,184,48,82
32,83,80,191,48,83
39,86,31,189,48,86
36,87,36,189,44,87
42,86,44,189,52,86
45,85,28,189,52,85
36,87,26,190,44,87
41,89,24,187,49,89
38,86,41,189,25,86
45,82,76,188,52,82
40,87,97,193,30,87
28,87,55,190,43,87
23,87,54,193,32,87
25,87,85,193,36,87
38,88,89,193,45,88
38,87,55,194,48,87
53,110,120,194,45,110
40,87,59,193,45,87
38,87,54,193,47,87
69,105,138,191,42,105
62,120,138,192,40,120
64,135,147,191,49,135
64,116,146,194,45,116
62,113,143,193,41,113
64,139,148,193,57,139
62,132,139,193,47,132
63,115,125,193,49,115
66,114,148,193,49,114
66,115,132,191,51,115
66,112,94,191,57,112
70,111,83,189,64,111
69,121,88,182,57,121
41,121,42,188,51,121
76,106,59,190,51,106
48,118,27,188,50,118
74,132,121,188,33,132
75,132,123,186,45,132
65,128,77,186,57,128
64,111,145,193,44,111
69,115,145,191,65,115
68,99,144,191,51,99
39,86,148,189,45,86
36,112,60,191,37,112
44,113,61,193,38,113
51,91,125,183,45,91
47,91,117,175,53,91
70,87,78,178,60,87
68,108,136,188,40,108
59,108,126,188,39,108
69,88,69,187,47,88
67,87,72,182,45,87
31,86,79,175,42,86
39,88,35,188,41,88
34,88,42,187,41,88
45,108,48,185,40,108
43,86,42,161,47,86
43,86,30,185,44,86
39,86,26,187,41,86
41,92,24,186,39,92
41,86,41,184,30,86
43,86,71,182,43,86
50,80,123,155,33,80
39,89,60,187,27,89
28,88,55,186,32,88
24,89,51,190,29,89
27,86,79,171,45,86
25,89,59,189,34,89
40,89,58,188,38,89
40,88,55,190,41,88
59,111,129,190,37,111
38,106,54,190,38,106
42,88,58,188,42,88
68,107,135,188,38,107
38,85,73,182,34,85
46,84,70,175,36,84
67,125,136,188,37,125
67,134,148,187,48,134
66,116,144,194,40,116
66,115,139,191,37,115
64,139,146,189,64,139
64,132,145,192,42,132
65,115,117,194,37,115
69,114,83,186,54,114
68,113,144,188,40,113
69,112,125,188,40,112
69,111,86,186,44,111
70,111,71,185,42,111
40,121,40,184,49,121
68,141,48,184,46,141
68,111,58,187,45,111
44,122,32,184,42,122
41,141,25,176,49,141
78,106,75,168,50,106
71,133,119,184,29,133
68,148,107,184,27,148
68,153,80,186,36,153
68,149,79,184,46,149
77,136,122,165,44,136
69,129,124,186,45,129
69,129,77,182,45,129
65,122,142,189,40,122
68,124,131,187,43,124
69,107,137,188,37,107
72,120,83,183,59,120
46,86,57,175,47,86
32,80,120,173,63,80
35,112,127,191,54,112
34,111,105,196,56,111
35,80,121,176,57,80
30,83,90,172,59,83
37,85,83,162,67,85
42,86,152,183,66,86
41,87,126,183,64,87
29,78,77,170,60,78
27,67,72,168,63,67
36,84,39,167,49,84
31,81,42,167,61,81
38,87,53,183,61,87
41,85,22,164,58,85
37,80,24,165,56,80
37,76,24,170,48,76
38,92,28,170,46,92
37,67,44,166,43,67
39,66,119,163,29,66
27,73,55,167,22,73
25,67,67,165,30,67
31,65,74,164,64,65
27,68,72,169,39,68
38,66,92,159,70,66
36,77,55,176,49,77
35,87,115,182,56,87
35,113,117,188,58,113
32,83,85,185,54,83
36,84,114,173,55,84
45,72,76,162,57,72
37,110,147,183,50,110
38,134,149,181,61,134
43,111,151,189,62,111
41,108,151,184,50,108
36,139,143,163,71,139
36,131,144,188,53,131
35,114,126,192,61,114
37,109,106,152,86,109
42,99,150,182,62,99
48,113,135,176,70,113
43,113,101,176,72,113
40,122,33,162,57,122
36,118,50,159,61,118
36,121,46,162,55,121
36,124,31,162,54,124
36,138,73,154,28,138
36,132,73,157,61,132
40,102,140,175,70,102
36,135,71,162,57,135
34,81,120,189,58,81
32,111,108,193,67,111
33,82,120,170,68,82
28,83,90,175,68,83
37,83,80,146,72,83
36,83,71,157,63,83
26,81,75,162,65,81
27,68,71,163,65,68
32,84,34,157,63,84
28,68,42,163,62,68
28,88,50,157,63,88
39,87,39,161,62,87
34,85,36,162,58,85
35,66,42,159,62,66
39,80,28,161,58,80
35,65,53,160,21,65
27,65,56,154,22,65
24,65,61,160,31,65
27,67,71,164,63,67
25,66,81,159,40,66
38,62,91,148,70,62
32,80,77,166,49,80
32,85,90,166,65,85
33,84,120,166,70,84
32,82,78,173,62,82
32,85,57,172,55,85
35,79,69,156,63,79
42,131,143,169,64,131
33,140,137,171,67,140
37,139,133,158,73,139
34,135,124,183,51,135
33,137,115,190,67,137
36,131,129,152,75,131
46,110,107,149,81,110
39,108,129,152,75,108
39,108,120,152,75,108
39,108,73,156,75,108
35,122,27,152,63,122
36,121,48,153,61,121
37,122,37,148,61,122
35,123,32,151,63,123
36,122,30,154,63,122
39,123,36,150,58,123
38,138,73,150,28,138
36,151,67,155,44,151
36,140,69,154,63,140
34,126,131,146,68,126
33,132,71,156,61,132
34,115,122,158,72,115
33,136,77,153,58,136
38,118,126,150,80,118
38,113,97,196,49,113
30,80,77,188,65,80
29,80,69,189,62,80
47,81,106,167,85,81
55,111,154,185,49,111
46,111,126,189,49,111
69,87,104,190,67,87
66,110,72,180,73,110
27,78,73,189,48,78
27,77,70,189,53,77
34,83,31,190,48,83
29,77,35,190,43,77
27,84,54,186,53,84
45,80,21,184,53,80
43,83,23,189,51,83
38,78,27,189,44,78
39,92,24,189,46,92
41,79,41,188,23,79
45,76,75,188,55,76
40,79,95,191,29,79
29,77,55,191,24,77
25,79,53,190,30,79
26,69,75,180,54,69
24,79,51,189,37,79
38,68,70,182,57,68
27,81,64,191,42,81
40,86,55,191,46,86
41,113,118,191,46,113
31,110,58,191,43,110
38,110,56,191,46,110
65,77,147,183,50,77
46,71,76,182,54,71
52,121,138,190,39,121
45,137,147,190,57,137
44,115,146,193,46,115
44,114,146,191,39,114
42,139,141,189,62,139
40,142,140,172,78,142
40,135,138,191,50,135
40,136,117,194,49,136
44,130,135,187,67,130
65,133,99,187,78,133
64,107,149,189,49,107
55,112,134,189,67,112
55,111,96,189,67,111
55,111,68,189,67,111
44,120,32,186,55,120
45,127,39,183,56,127
45,121,52,189,54,121
45,123,32,185,53,123
45,124,24,184,53,124
48,124,37,183,54,124
48,138,72,164,28,138
44,132,48,190,56,132
41,118,127,190,50,118
44,135,47,190,55,135
48,118,126,157,80,118
64,99,144,189,64,99
49,127,77,182,54,127
42,110,67,192,70,110
30,108,69,189,68,108
52,112,73,187,64,112
67,112,111,195,50,112
65,112,58,195,58,112
68,108,58,194,58,108
68,107,58,188,60,107
26,112,68,187,65,112
27,91,68,191,65,91
42,87,38,192,58,87
30,86,46,192,58,86
38,108,48,190,53,108
44,75,45,154,58,75
37,82,35,189,58,82
43,86,44,190,58,86
39,87,49,191,29,87
51,87,72,176,42,87
51,86,75,145,32,86
40,85,98,191,32,85
28,87,55,191,25,87
25,87,59,193,29,87
26,85,73,187,57,85
24,87,80,193,39,87
44,82,88,185,68,82
41,87,91,192,48,87
39,111,75,195,57,111
42,113,104,196,45,113
33,112,59,195,53,112
40,112,56,193,51,112
69,109,124,191,54,109
52,91,72,186,37,91
63,128,124,195,40,128
63,137,86,196,55,137
63,117,116,196,45,117
62,115,110,196,40,115
59,140,122,194,65,140
63,143,112,190,73,143
59,135,118,196,49,135
55,130,99,195,51,130
63,134,117,191,60,134
63,144,92,185,75,144
64,115,61,175,71,115
65,114,110,196,49,114
63,113,94,191,54,113
65,135,74,192,57,135
57,112,66,191,64,112
65,124,77,174,71,124
63,123,49,181,83,123
63,127,52,122,90,127
63,116,52,190,64,116
67,119,42,172,70,119
67,119,28,172,69,119
67,124,23,172,63,124
67,121,29,172,57,121
69,142,62,168,69,142
62,130,107,190,48,130
62,122,84,192,62,122
60,119,89,192,45,119
55,136,77,192,48,136
66,120,106,184,65,120
66,111,110,192,50,111
66,126,80,190,61,126
30,83,63,160,69,83
49,86,82,152,91,86
53,86,147,174,89,86
29,80,60,157,68,80
27,76,69,157,82,76
37,89,35,154,71,89
31,77,44,159,62,77
40,84,60,138,66,84
39,69,40,144,64,69
43,64,60,146,58,64
35,67,55,163,30,67
29,69,55,159,25,69
25,69,57,152,40,69
30,69,70,146,65,69
25,67,78,149,60,67
41,68,94,138,76,68
42,69,77,157,62,69
44,110,76,164,68,110
45,82,115,156,87,82
41,82,62,166,50,82
46,82,105,156,69,82
45,63,71,135,45,63
50,109,131,179,44,109
51,128,128,176,64,128
52,109,125,180,48,109
47,142,120,160,75,142
45,141,120,158,75,141
44,136,125,180,71,136
44,121,106,181,81,121
48,132,120,160,87,132
53,133,106,139,87,133
48,115,93,144,92,115
54,115,52,142,87,115
48,127,110,145,68,127
48,119,108,152,72,119
45,110,110,155,68,110
51,125,118,151,67,125
59,117,118,131,73,117
30,111,79,143,81,111
68,86,96,149,101,86
68,86,87,131,97,86
26,111,60,152,69,111
27,81,69,154,66,81
29,85,35,144,75,85
29,82,44,158,68,82
39,111,61,136,66,111
37,72,35,137,55,72
35,69,49,131,39,69
28,84,59,159,23,84
24,83,56,142,42,83
27,68,73,142,66,68
25,67,64,154,48,67
30,66,64,135,71,66
30,86,73,163,62,86
29,87,60,164,67,87
31,91,68,154,75,91
29,86,62,165,59,86
30,86,62,163,61,86
66,91,95,137,65,91
59,83,87,100,72,83
58,109,109,177,47,109
44,109,104,188,55,109
39,135,104,161,80,135
31,142,96,150,76,142
32,126,99,181,61,126
31,121,94,174,68,121
35,131,106,151,75,131
33,148,82,139,81,148
32,116,76,131,91,116
66,111,84,124,93,111
66,106,70,111,75,106
35,123,71,133,91,123
65,119,59,114,89,119
48,121,48,120,83,121
48,121,49,118,83,121
48,122,32,119,75,122
67,126,28,109,70,126
37,141,83,133,27,141
37,144,82,133,41,144
31,133,80,144,60,133
32,123,85,150,70,123
31,119,88,153,68,119
32,136,80,160,58,136
51,117,106,121,67,117
69,95,97,137,66,95
66,121,81,116,69,121
39,82,62,134,58,82
68,88,81,182,61,88
67,88,73,167,87,88
67,88,72,138,97,88
68,111,79,112,95,111
63,110,67,117,96,110
34,86,66,138,72,86
48,114,57,120,91,114
43,86,43,95,93,86
63,107,52,125,92,107
39,84,53,92,61,84
30,85,57,94,48,85
28,87,61,149,57,87
26,85,79,102,79,85
47,89,78,143,66,89
55,88,72,154,66,88
62,88,79,126,87,88
51,111,76,166,58,111
52,88,75,158,64,88
70,102,106,168,50,102
71,110,78,186,58,110
71,108,78,182,46,108
69,129,102,155,85,129
67,137,90,158,83,137
66,131,78,186,57,131
65,115,72,184,66,115
67,131,88,150,88,131
64,142,78,140,85,142
65,119,74,128,90,119
71,109,76,172,88,109
65,112,79,132,93,112
66,108,66,121,74,108
63,123,76,114,89,123
64,143,80,103,91,143
63,123,50,120,88,123
63,135,53,123,90,135
63,117,53,123,84,117
66,125,44,106,63,125
65,135,50,108,58,135
65,120,72,116,50,120
65,145,66,120,27,145
64,144,81,122,34,144
66,131,84,140,61,131
64,128,74,173,67,128
65,119,79,154,66,119
64,139,75,134,50,139
66,120,83,123,67,120
65,138,82,146,50,138
66,130,72,112,56,130
61,87,81,110,58,87
69,111,80,177,55,111
69,88,79,179,56,88
70,88,68,175,57,88
69,84,84,167,82,84
67,89,52,169,73,89
65,108,48,176,57,108
68,83,72,166,54,83
49,87,122,169,31,87
28,88,88,166,30,88
25,88,106,166,33,88
39,88,119,171,40,88
50,88,123,170,51,88
62,86,122,182,66,86
64,110,122,179,53,110
55,90,126,183,48,90
74,89,135,174,51,89
58,86,70,168,37,86
70,117,136,188,42,117
80,135,157,179,61,135
68,113,145,193,46,113
68,111,140,189,40,111
79,139,156,182,71,139
66,129,140,191,47,129
67,113,114,193,53,113
70,112,100,171,70,112
70,113,77,169,71,113
70,107,144,180,49,107
71,110,129,176,56,110
71,111,87,175,60,111
82,104,79,168,66,104
70,112,67,175,62,112
79,110,143,181,51,110
79,124,131,182,66,124
75,99,142,172,57,99
70,89,53,172,67,89
68,88,62,167,69,88
66,88,80,158,92,88
65,89,51,161,87,89
65,107,48,177,58,107
65,87,73,138,63,87
51,82,75,132,35,82
50,88,72,154,37,88
51,85,74,147,35,85
28,87,73,143,61,87
49,84,135,161,68,84
52,87,62,182,66,87
69,85,129,179,53,85
59,87,126,183,55,87
61,89,126,183,70,89
74,89,127,169,53,89
52,85,74,154,37,85
71,115,126,187,43,115
74,110,126,191,48,110
69,109,123,187,44,109
67,139,145,173,84,139
72,142,129,159,75,142
64,130,126,189,52,130
66,114,105,193,53,114
73,128,136,156,88,128
67,114,92,161,85,114
67,114,81,166,71,114
68,106,126,178,56,106
72,111,124,182,58,111
76,109,86,167,60,109
77,111,66,169,58,111
69,115,58,147,92,115
69,112,55,181,70,112
75,114,73,155,65,114
81,128,129,149,69,128
67,117,85,155,72,117
78,101,135,166,61,101
68,118,131,176,80,118
78,98,135,167,59,98
68,89,61,163,67,89
66,87,78,134,98,87
64,112,48,136,90,112
61,106,48,169,60,106
62,85,42,99,69,85
46,84,46,113,36,84
57,87,72,132,63,87
45,87,63,127,28,87
54,88,62,133,37,88
51,85,71,128,32,85
53,83,74,132,38,83
29,87,73,133,61,87
57,85,58,162,73,85
67,87,92,144,97,87
55,86,98,166,55,86
61,85,94,158,72,85
76,87,108,167,54,87
50,88,64,135,36,88
52,84,74,124,35,84
77,110,96,188,51,110
76,107,113,191,54,107
74,108,81,186,45,108
67,139,122,173,85,139
75,110,86,186,57,110
66,113,67,191,56,113
69,115,72,129,92,115
67,115,72,134,92,115
75,107,90,178,49,107
72,100,89,167,58,100
69,112,81,129,94,112
69,108,62,167,58,108
68,116,79,132,90,116
65,117,57,116,91,117
66,115,48,167,60,115
82,126,72,124,26,126
81,122,72,113,43,122
84,117,72,118,33,117
69,121,61,161,78,121
71,116,93,121,88,116
72,128,84,126,73,128
82,118,118,127,72,118
84,113,73,104,51,113
50,111,24,108,55,111
44,84,37,91,61,84
30,102,40,163,66,102
56,90,28,89,65,90
58,86,29,88,65,86
45,84,23,99,52,84
55,88,26,94,59,88
45,86,57,126,26,86
51,87,49,112,36,87
46,85,65,132,30,85
46,83,72,135,27,83
29,87,55,129,26,87
26,84,60,103,57,84
26,86,67,129,60,86
44,82,70,106,72,82
49,83,70,137,53,83
52,84,70,105,66,84
43,86,70,181,49,86
46,79,71,128,53,79
76,88,71,165,56,88
50,87,38,122,36,87
46,82,68,128,34,82
74,109,71,168,47,109
71,107,69,179,47,107
69,111,75,188,77,111
65,113,63,191,57,113
73,113,74,106,79,113
71,113,68,120,70,113
70,106,69,174,57,106
75,103,69,166,68,103
71,111,69,117,70,111
67,109,62,113,69,109
74,113,67,107,85,113
59,122,28,106,67,122
60,121,50,117,67,121
60,122,28,93,68,122
59,123,26,93,69,123
59,123,24,90,63,123
65,121,31,97,61,121
71,127,69,124,26,127
59,125,52,108,42,125
66,125,73,124,35,125
71,123,72,129,26,123
71,123,72,125,34,123
67,150,41,108,50,150
78,138,76,98,69,138
66,148,41,128,52,148
74,134,71,119,60,134
68,131,49,106,69,131
67,135,41,115,55,135
75,124,71,117,63,124
59,126,43,113,43,126
26,79,66,147,74,79
26,112,39,131,75,112
27,83,41,133,62,83
56,112,46,118,91,112
54,86,28,89,79,86
47,82,27,101,76,82
35,78,33,110,56,78
34,72,57,128,24,72
68,112,72,108,67,112
41,69,73,135,28,69
27,83,54,140,25,83
24,84,48,138,40,84
26,83,49,140,62,83
24,83,49,142,48,83
28,72,81,136,71,72
27,83,48,152,49,83
29,86,55,133,67,86
40,85,71,148,79,85
28,85,64,146,51,85
35,85,65,134,62,85
56,79,77,100,67,79
67,107,83,178,53,107
46,130,102,143,79,130
38,114,88,169,84,114
45,127,89,132,92,127
62,147,78,136,80,147
48,119,75,128,90,119
64,112,78,113,93,112
65,104,72,102,88,104
33,123,71,115,90,123
64,146,82,103,91,146
35,124,32,118,78,124
63,132,52,103,91,132
57,118,53,115,88,118
67,118,30,104,76,118
67,121,28,104,69,121
66,118,27,102,78,118
66,121,32,104,56,121
32,141,81,121,27,141
64,150,80,117,40,150
57,133,74,133,61,133
40,123,78,126,71,123
51,119,72,150,69,119
34,139,68,150,50,139
66,120,80,117,65,120
65,131,81,111,55,131
48,118,61,111,57,118
28,81,49,139,68,81
27,67,48,141,54,67
28,86,48,150,58,86
34,56,52,95,62,56
32,69,50,116,39,69
28,65,49,133,21,65
30,79,75,101,49,79
26,67,68,143,29,67
26,67,59,134,21,67
23,63,59,139,32,63
24,61,63,117,58,61
24,62,69,144,39,62
26,62,71,121,67,62
26,66,68,150,52,66
27,81,60,165,62,81
29,81,77,151,86,81
26,115,55,163,51,115
27,115,66,164,61,115
39,58,77,124,48,58
38,114,97,187,51,114
34,134,81,160,83,134
31,131,89,149,80,131
30,131,73,183,54,131
29,113,73,178,69,113
38,113,84,105,94,113
30,118,82,108,87,118
27,118,43,107,85,118
37,141,49,107,90,141
31,115,52,105,90,115
30,139,82,122,27,139
31,150,80,97,64,150
31,139,80,97,68,139
30,151,80,108,75,151
29,123,86,149,76,123
29,121,72,150,72,121
36,116,73,150,85,116
31,117,88,150,75,117
31,77,80,110,58,77
28,132,33,137,51,132
28,121,27,120,54,121
50,121,20,107,65,121
35,123,24,125,45,123
29,145,21,125,42,145
34,122,25,125,43,122
31,86,27,137,21,86
42,87,24,115,32,87
38,85,31,135,26,85
28,82,35,147,24,82
26,85,28,140,21,85
23,86,31,176,26,86
26,84,33,138,51,84
24,85,28,146,39,85
27,85,33,125,58,85
29,85,28,147,50,85
33,123,29,155,48,123
47,86,42,143,59,86
32,117,26,182,46,117
35,112,30,130,53,112
46,87,38,165,53,87
39,132,27,124,35,132
39,84,32,128,34,84
58,138,37,180,48,138
56,136,42,171,57,136
67,105,59,178,55,105
65,137,51,164,59,137
63,138,68,141,71,138
61,134,48,181,55,134
52,113,55,190,63,113
55,133,65,135,89,133
55,145,36,136,58,145
53,118,57,118,89,118
68,111,64,136,94,111
62,112,53,128,93,112
57,120,36,112,70,120
56,123,48,111,88,123
56,145,36,104,58,145
29,145,26,125,61,145
56,139,29,110,57,139
49,142,27,114,68,142
54,126,23,105,66,126
50,145,25,126,59,145
51,145,23,126,56,145
48,146,24,126,55,146
55,141,26,123,27,141
50,130,34,106,41,130
58,133,34,126,33,133
57,135,36,136,41,135
55,151,29,128,23,151
54,153,29,136,29,153
51,153,27,141,42,153
57,141,54,111,70,141
51,138,26,144,54,138
53,133,30,117,57,133
56,133,26,174,50,133
53,136,26,146,53,136
53,133,31,121,57,133
65,98,64,165,61,98
55,133,28,116,40,133
50,127,28,112,55,127
28,133,33,116,53,133
33,84,30,123,58,84
46,120,28,108,55,120
31,79,25,123,55,79
33,92,26,132,50,92
31,77,35,133,22,77
39,83,34,113,33,83
36,81,37,133,26,81
27,69,35,146,26,69
26,76,34,140,22,76
23,82,36,142,26,82
25,66,41,127,46,66
23,83,36,146,34,83
31,83,39,122,57,83
28,84,36,170,45,84
28,86,33,180,52,86
30,86,37,176,47,86
29,112,36,169,35,112
30,85,36,143,46,85
32,82,47,136,49,82
38,80,36,124,34,80
42,76,40,125,36,76
44,135,43,180,48,135
42,135,39,170,57,135
44,107,53,184,50,107
50,134,42,161,60,134
44,106,51,182,51,106
32,113,60,169,85,113
38,142,52,140,84,142
30,117,43,127,82,117
43,92,77,152,90,92
50,111,43,101,93,111
31,122,43,105,82,122
36,146,27,126,53,146
44,134,36,102,83,134
30,149,33,125,72,149
44,145,24,126,60,145
44,145,25,126,60,145
43,145,23,126,57,145
44,145,25,126,55,145
50,130,48,105,59,130
39,150,40,114,29,150
44,152,37,127,43,152
43,154,35,135,47,154
49,136,38,105,72,136
42,135,36,139,55,135
30,133,35,141,60,133
37,123,52,134,76,123
30,135,36,146,57,135
32,130,37,122,62,130
46,130,42,104,60,130
35,125,37,112,54,125
31,120,24,115,69,120
31,122,24,119,42,122
37,122,20,113,37,122
30,119,26,121,53,119
38,87,33,130,26,87
50,89,38,115,35,89
46,89,42,133,31,89
28,87,43,146,27,87
26,88,40,135,27,88
