name,nii_file,nii_file_id,4dvolind
0_to_1,vismap_grp_cat_rois1_norm.nii.gz,0,0
0_to_2,vismap_grp_cat_rois1_norm.nii.gz,0,1
0_to_3,vismap_grp_cat_rois1_norm.nii.gz,0,2
0_to_4,vismap_grp_cat_rois1_norm.nii.gz,0,3
0_to_5,vismap_grp_cat_rois1_norm.nii.gz,0,4
0_to_6,vismap_grp_cat_rois1_norm.nii.gz,0,5
0_to_7,vismap_grp_cat_rois1_norm.nii.gz,0,6
0_to_8,vismap_grp_cat_rois1_norm.nii.gz,0,7
0_to_9,vismap_grp_cat_rois1_norm.nii.gz,0,8
0_to_11,vismap_grp_cat_rois1_norm.nii.gz,0,9
0_to_12,vismap_grp_cat_rois1_norm.nii.gz,0,10
0_to_13,vismap_grp_cat_rois1_norm.nii.gz,0,11
0_to_15,vismap_grp_cat_rois1_norm.nii.gz,0,12
0_to_16,vismap_grp_cat_rois1_norm.nii.gz,0,13
0_to_17,vismap_grp_cat_rois1_norm.nii.gz,0,14
0_to_18,vismap_grp_cat_rois1_norm.nii.gz,0,15
0_to_19,vismap_grp_cat_rois1_norm.nii.gz,0,16
0_to_20,vismap_grp_cat_rois1_norm.nii.gz,0,17
0_to_21,vismap_grp_cat_rois1_norm.nii.gz,0,18
0_to_22,vismap_grp_cat_rois1_norm.nii.gz,0,19
0_to_23,vismap_grp_cat_rois1_norm.nii.gz,0,20
0_to_24,vismap_grp_cat_rois1_norm.nii.gz,0,21
0_to_25,vismap_grp_cat_rois1_norm.nii.gz,0,22
0_to_26,vismap_grp_cat_rois1_norm.nii.gz,0,23
0_to_27,vismap_grp_cat_rois1_norm.nii.gz,0,24
0_to_28,vismap_grp_cat_rois1_norm.nii.gz,0,25
0_to_29,vismap_grp_cat_rois1_norm.nii.gz,0,26
0_to_30,vismap_grp_cat_rois1_norm.nii.gz,0,27
0_to_31,vismap_grp_cat_rois1_norm.nii.gz,0,28
0_to_32,vismap_grp_cat_rois1_norm.nii.gz,0,29
0_to_33,vismap_grp_cat_rois1_norm.nii.gz,0,30
0_to_34,vismap_grp_cat_rois1_norm.nii.gz,0,31
0_to_35,vismap_grp_cat_rois1_norm.nii.gz,0,32
0_to_36,vismap_grp_cat_rois1_norm.nii.gz,0,33
0_to_37,vismap_grp_cat_rois1_norm.nii.gz,0,34
0_to_38,vismap_grp_cat_rois1_norm.nii.gz,0,35
0_to_39,vismap_grp_cat_rois1_norm.nii.gz,0,36
0_to_40,vismap_grp_cat_rois1_norm.nii.gz,0,37
0_to_41,vismap_grp_cat_rois1_norm.nii.gz,0,38
0_to_43,vismap_grp_cat_rois1_norm.nii.gz,0,39
0_to_44,vismap_grp_cat_rois1_norm.nii.gz,0,40
0_to_47,vismap_grp_cat_rois1_norm.nii.gz,0,41
0_to_48,vismap_grp_cat_rois1_norm.nii.gz,0,42
0_to_52,vismap_grp_cat_rois1_norm.nii.gz,0,43
0_to_53,vismap_grp_cat_rois1_norm.nii.gz,0,44
0_to_55,vismap_grp_cat_rois1_norm.nii.gz,0,45
0_to_58,vismap_grp_cat_rois1_norm.nii.gz,0,46
0_to_59,vismap_grp_cat_rois1_norm.nii.gz,0,47
0_to_60,vismap_grp_cat_rois1_norm.nii.gz,0,48
0_to_61,vismap_grp_cat_rois1_norm.nii.gz,0,49
0_to_62,vismap_grp_cat_rois1_norm.nii.gz,0,50
0_to_63,vismap_grp_cat_rois1_norm.nii.gz,0,51
0_to_64,vismap_grp_cat_rois1_norm.nii.gz,0,52
0_to_68,vismap_grp_cat_rois1_norm.nii.gz,0,53
0_to_69,vismap_grp_cat_rois1_norm.nii.gz,0,54
0_to_70,vismap_grp_cat_rois1_norm.nii.gz,0,55
0_to_71,vismap_grp_cat_rois1_norm.nii.gz,0,56
0_to_76,vismap_grp_cat_rois1_norm.nii.gz,0,57
